tipo,volume,conversao,temperatura,custo_usd_1000,op
Batela,500.0,85.0,60,50,reacao
Contínuo,1200.0,92.0,70,80,reacao
PFR,800.0,88.0,75,120,reacao
CSTR,950.0,80.0,65,100,reacao
Batela Alimentado,,90.0,68,90,reacao
Contínuo de Leito Fixo,1500.0,95.0,80,150,reacao
Contínuo de Leito Fluidizado,2000.0,97.0,78,180,reacao
Semi-Batela,700.0,,70,70,reacao
Destilador de Prato,,,120,250,separacao
Coluna de Absorção,850.0,,45,200,separacao
Filtro Prensa,,,25,60,separacao
Filtro Rotativo a Vácuo,,,35,90,separacao
Secador Spray Dryer,1200.0,,180,300,separacao
Bomba Centrífuga,150.0,,25,30,transporte
Compressor de Ar,,,40,70,transporte
Trocador de Calor de Placas,300.0,,90,120,troca termica
Trocador de Calor Casco e Tubo,500.0,,150,200,troca termica
Válvula de Controle,,,25,20,controle
Misturador de Hélice,400.0,,60,50,mistura
Torre de Resfriamento,2000.0,,35,180,utilidades
Tanque de Armazenamento,5000.0,,30,220,armazenamento
Torre de Extração Líquido-Líquido,900.0,,40,250,separacao
